评论ID,评价内容,情感倾向,评价长度,长度分类
35,酒店管家提前电话沟通，还给我们免费升级了房间，入住体验感提升，房间设施很新，干净卫生，戴斯吹风机，咖啡机，智能马桶该有的都有。酒店地下车库停车方便，入住期间每天赠送迷你吧和水果，晚安迷你小点心。早餐环境安静，服务很好，早餐主打精致，品类有限，口味不错，电视机略小且无法投屏，有点遗憾，退房后前台赠送了一份零食小礼物。,正面,158,中等(101-200字)
36,非常有格调的一家酒店，服务也非常好，有晚安甜品，临走还送了伴手礼。管家也很nice！真的是非常满意的一次出行。,正面,55,短(51-100字)
37,"“初见不惊艳，但住下来感受到细节满满”
房间洗漱区和卧室区分成两部分，洗漱区在使用的时候感觉很舒服～

床睡着也比较舒服～

酒店服务态度大加分～从进门到下午茶到晚上送的点心到早餐，全体都在线，会再入住的点之一～

早餐！真的很精致，有好吃的！大加分！会再入住的点之二～

春节期间早餐时间的舞狮+小提琴也很有心意呢～狮子会吐金币出来，小朋友很喜欢
展开更多",正面,179,中等(101-200字)
38,房间层高很高，装修细节到位，住宿舒适！配套完善，服务特别好！早餐虽然品种不是很多，但是精致，结合当地特色小吃，又有西式简餐，非常不错！还会再次入住,正面,73,短(51-100字)
39,这是这次旅行最满意的一家酒店。设施非常高档和新，风格也很独特和简约。服务人员每个方面都没得说，非常友好和主动。房间条件很好，干净整洁，床是我睡过的最舒服的。智能马桶和戴森吹风机等等也提高了入住体验。隔音也非常好。早餐选择多，质量很高，也没有过分追求花样。住了五六天，每天都很满意。下次还会来这里住。唯一的遗憾是健身房略小，没有游泳池这些。但瑕不掩瑜。,正面,175,中等(101-200字)
40,硬件配置齐全 服务不错 地理环境不错 餐饮尚可 咱不是旅行但也是旅行 习惯来一晚感觉好就打算住个十天半月 但是这种提前卖房很令人憎恨 手握重金 不缺房住 也不由人胁迫 无论如何 应该给房客留有优先续住的空间吧 休闲放松的生活态度 谁会接受一天到晚换房间 麻烦 所以直接退了 换家酒店再住一周,正面,145,中等(101-200字)
41,房间设施什么的都ok，对的上这个价位，就是当晚办入住酒店前台人员服务态度差，预订前酒店主动和我沟通协商的房型说的预留，到店后以满房为由，未提供任何解决方案，同时旁边有位住客办理入住房型已满给的升房的方案，不晓得是啥子原因差异这么大。,负面,116,中等(101-200字)
42,真正的一个五星好评酒店，服务，卫生，细节，无可挑剔！空调很棒，下午茶档次很高，手磨咖啡，服务满满。一个 3 线城市做到了比一线城市都好的服务，给你们点个大赞👍,正面,79,短(51-100字)
43,房间很好很温馨 前台小方 小帅服务很好 有一点事情耽搁了 还给我做了延迟退房 很贴心,正面,42,极短(≤50字)
44,酒店设计很独特，房间地面都是大理石的，很有格调，看得出来老板在设计上是下了功夫的。这次没有预定早餐，下次有机会来品尝早餐，听说很不错，有乐山特色小吃。特别表扬一下前台小娟和小方，从预定拜访到办理入住以及住店期间帮忙解决各种问题，都彰显了服务的专业以及热情的态度。,正面,131,中等(101-200字)
45,"优点：干净卫生，法式装修，说实话超出了我对乐山地区酒店的预期，对特殊要求也很关注，服务态度好，喜欢，肯定会再来住的，也会推荐朋友来乐山玩就住这家
缺点：1.离市区较远，不过打车方便便宜20分钟20块左右
2.外卖没有小机器人送货，只能自取
3.空调稍微有点吵
4.还有就是WiFi密码藏的太深了，建议入住的时候跟客户提示一下，我自己问了，退房时也听到有客人打电话到前台询问
展开更多",中性,191,中等(101-200字)
46,"这次以纪念日选择入住，没想到惊喜从预订那一刻就开始了！提前告知行程后，酒店不仅贴心布置了客房，还准备了精致的红丝绒小蛋糕，浪漫氛围直接拉满。
办理入住时，前台小杨细心又热情，全程微笑服务，让人倍感温暖。退房时还收到了一份精美的伴手礼，这份心意实在难得。
安珀酒店工作人员的用心，让我们的纪念日充满了仪式感。这样注重细节的服务，一定会让我们再次选择这里。
展开更多",正面,181,中等(101-200字)
47,据说是乐山目前最贵的酒店位置没有华邑哪么热闹但边上也有万达广场小众设计师酒店服务各方面还蛮好的房间也很大餐饮口味都做的不错属于少而精管家服务也挺到位的。,负面,76,短(51-100字)
48,酒店环境很好，管家服务非常到位，女朋友受伤了叫拿创口贴马上就拿上来了，订房的权益也全部享受到了，非常推荐。,正面,53,短(51-100字)
49,"非常 非常棒的酒店，在上海能买2089一晚。
房间干净，minibar脱脂奶给好评，还有漱口水，但是牙膏有点难挤
公区非常厉害，有一个影厅晚上在放柯南，看得很开心，不同时段有各种活动
健身房边上的卫生间门口还有一个黑胶唱片机和一面黑胶墙
服务非常周到，check in有送饮料，小帅小郭非常好，有求必应",正面,151,中等(101-200字)
50,"两晚的入住整体感受非常好！
管家小方姑娘全程服务热情周到，无处不在的体贴服务。接送站的祝师傅和袁师傅驾驶技术好、服务好、前台小姐姐礼貌接待速度快。入住的第二个房晚预订了含早房间，没让我们失望，早餐味道不错，餐厅的工作人员也都热情细致。
这是一次让人满意的入住体验！",正面,132,中等(101-200字)
51,整体不错，早餐简单，水果品质一般；夜床送的甜品没吃，里面可能有奶制品，发酵了一晚上直接杯盖给炸崩飞了，还好人没坐在旁边；有一说一，服务非常好，遇到的每位员工很奈斯，必须点赞。,正面,87,短(51-100字)
52,"这次出行是定的小黄鸭亲子房，房间空间挺大的，足够两个孩子玩耍，房间内有帐篷和积木桌，儿童洗漱用品也有配备！服务和卫生情况都很不错！

茉.Cafe西餐厅法式双人下午茶:拍照巨好看巨出片
定制儿童套餐:小孩子们都很喜欢吃
迷你吧:饮品挺丰富的
展开更多",正面,125,中等(101-200字)
53,"酒店整体很不错，房间很有设计感，洗漱台和浴缸在房间一左一右，去房间感觉有个客厅一样，卧室在在里面，有分区，特别亮点是，浴缸的水很大，放水非常快，洗漱用品品质不错，意大利进口的，有点小奢的感觉。卧室床头背景墙用的浅绿，对面墙上有屏风对称呼应，采用宋式风格，现代与传统的结合。地板用大理石地砖，加仿木地板，有点别致。
酒店很注重细节，连公共卫生间都用心，放有一次性漱口水，门口放有美式书架，还有唱片播放，很有20世纪初的欧美感。酒店大堂很有设计感，餐厅是西式风格。
不足：酒店有微弱的装修味。
展开更多",中性,249,长(201-500字)
54,位置离高铁站非常近，喜欢安静的话是非常好的选择。酒店的风格和设计简洁优雅，很现代，服务也很棒，设施也全面。楼下的迎宾小哥借了雨伞就记住了我们，挺可爱。安逸的城市安逸的住所。,正面,86,短(51-100字)
55,房间很好，酒店送的有饮料，水果，饮料送的多，都没喝完，服务也好，碰到的工作人员都热情，特殊情况要提前入住，酒店也提前留好了房间，以后再来乐山会继续选择安珀酒店,正面,79,短(51-100字)
56,"设施：非常新的酒店 没有任何味道  硬装品质在线 用的五金和吹风机都很不错 停车场也很大

服务：很ok  保洁阿姨遇到会主动打招呼  工作人员会特意自己等下一班电梯不和客人乘同一班

下次来乐山一定会再住！",正面,104,中等(101-200字)
57,这次来乐山非常超预期的酒店，之前在巴黎住过这个品牌的酒店，但国内的房间要大得多，服务也非常好，房间干净宽敞明亮，设施方便，服务很好基本有求必应，床品也不错睡得很舒服，早餐可以吃到钵钵鸡翘脚牛肉和蛋烘糕，重点是管家服务非常好，尤其是小帅和小袁很贴心，给他们点赞👍,正面,130,中等(101-200字)
58,酒店很大气，服务也很好，房间宽敞整洁，设施全。美中不足的是早餐厅比较小，光线较暗。总体比较满意。,中性,48,极短(≤50字)
59,床品和洗浴用品很赞！早餐品种多口味也很出色！送糕点和巧克力很好吃，前台都很热情呢！送小羊也很可爱,正面,48,极短(≤50字)
60,乐山不错的酒店，就在万达附近，出行方便。,正面,20,极短(≤50字)
61,第二次入住乐山安珀酒店了，每次来乐山玩的首选酒店。服务还是一如既往的好，特别感谢管家小方和小帅，入住期间有任何问题，都回复得超级及时。早餐还是超级丰富，入住体验非常好👍,中性,84,短(51-100字)
62,"整个酒店服务都不错，设施设备也很新，房间卫生做的很干净，提供的一次性东西，下午茶都不错！这些是加分项然后
说几点小意见第一电视不能投屏，这是一个现代化酒店该有的配置第二送的整个的水果没有配水果刀，当然出于安全的考虑，但是那就应该配不用切的水果，这个小细节，可能很多人没有注意到第三早餐的水果橘子太酸了，叶儿耙不好吃，这个你们外面买的，而且作为乐山特色，是不是应该选个更好吃的，烧麦也是外面买的，你们有自己的中式厨房，其实自己做反而让客人吃的更放心，因为外面很多肉都不好！第四酒店停车岗没有专门的保安人员，做引领这个还需要加强！
展开更多",正面,268,长(201-500字)
63,"让人惊艳到的酒店，对于700多的价格来说简直就是天花板了，我们带孩子订的双床房给升级了房型，特别棒！服务更是真诚热情，无微不至，提前两天就电话联系我们询问有什么入住需求，给孩子的床装了护栏。尤其是前台的呼帅名扬和党小姐服务非常好，其他工作人员服务也都很好。酒店的床帘完全遮光，枕头和床垫都很舒服，这两天我们都睡的非常好！下次来乐山还会住！
晚安礼遇:每晚有甜点
欢迎水果:也有欢迎水果
展开更多",正面,197,中等(101-200字)
64,比较满意住过贵阳成都麓山都很好 这次入住只有叫拿手机充电器半天才来其它都好,正面,37,极短(≤50字)
65,"到乐山出差和同事一起住了这家酒店
酒店内部环境绝对是乐山排名第一的，不是网红酒店的廉价感，装修特别有氛围。
客房有化妆桌椅的设置已经赢了一大部分酒店，面光对于化妆的女生来讲很友好。",中性,90,短(51-100字)
66,房间很大很干净，早餐很精致，有乐山特色，孩子和媳妇都很满意。,正面,30,极短(≤50字)
67,酒店风格是我喜欢的，服务态度非常赞……下次去还住。,正面,25,极短(≤50字)
68,这是一家很有特色的酒店，房间的布局非常合理，里面配的一些生活小物品也非常不错，贴心。酒店的餐厅也很有特色，酒店的服务也非常快捷。,正面,64,短(51-100字)
69,房间太棒了，细节做的很到位，前台的小伙子呼帅名洋特别贴心，服务一级棒。下次去乐山一定还住这里。,正面,47,极短(≤50字)
70,前台小娟小方服务热情，有需要联系前台很快就送来了，不错。酒店设计整体不错，看得出老板花了心思的。缺点就是没有洗衣房，没有外卖机器人，有点不方便。时间原因没有去体验酒店早餐，据说不错，下次有机会去体验。,中性,100,中等(101-200字)
71,"卫生：卫生确实做的很不错
环境：环境看得出来很用心 连去酒店的接站路线也是老板精心挑选
服务：服务美中不足 忘了晚上的甜品 第二天联系管家后也立马补上并送了小礼物
设施：这个只能说及格吧 毕竟在乐山他的价格摆着。
总的来说 来乐山这起码不踩雷不照骗。太多照骗小酒店",中性,132,中等(101-200字)
72,"我最近在这家酒店度过了一段非常愉快的时光。首先，我要赞扬他们的服务态度。从一进门起，接待我们的工作人员就热情周到地迎接我们，并迅速为我们办理入住手续。他们的微笑和专业态度让我感到特别温馨。

酒店的房间宽敞明亮，布置得非常精致。床品舒适，卫生间设施完善，整体给人一种干净、整洁的感觉。此外，酒店还提供了免费的Wi-Fi服务，让我们在旅途中可以随时保持联系。

酒店的位置也很便利，距离景点和商业区都很近。我们步行就能到达附近的商店和餐馆，非常方便。

总的来说，我非常推荐这家酒店。无论是从服务、设施还是位置来看，它都给我们留下了深刻的印象。我会向我的朋友们推荐这家酒店，相信他们也会喜欢的。再次感谢酒店的工作人员为我们提供的美好旅程！
展开更多",正面,323,长(201-500字)
73,"酒店到达乐山港开车二三十分钟样子，在新城的区域
安珀酒店是第一次选择
麓山有一家因为离家太近了一直没有去过
非常法式的装修，大厅和房间的风格有区别，相比更喜欢大厅的装修风格，非常出片，房间布置比较清新简单
谢谢前台小姐姐给予了升级体验❤
有赠送的下午茶，法式甜点和咸点非常精致
展开更多",正面,143,中等(101-200字)
74,"很不错，下午茶、晚安礼遇都很好
服务也是很周到",正面,23,极短(≤50字)
75,房间舒适度非常高，服务人员态度也十分友好，管家解决问题耐心细致，房价物超所值，出行体验感很好。下次依然会选择入住。,正面,57,短(51-100字)
76,"给女儿定的主题套房，小朋友很喜欢，还给她做了一份儿童餐，很棒，就是做的时间久了点，但2位服务员送到房间里，服务很到位
如果点了外卖可以送到房间里或者有机器人送到房间就好了",正面,85,短(51-100字)
77,房间卫生干净，装修简洁，位置离市中区较远，适合商务入住，不太适合旅行入住，前台服务好，早餐样式较少，酒店周围环境一般。,中性,59,短(51-100字)
78,"这次入住体验简直太棒了！从前台办理入住手续开始，就能感受到工作人员的热情。前台小赵和小郭脸上始终挂着真诚的笑容，耐心地解答我各种疑问，还快速高效地帮我完成了所有流程，给人一种宾至如归的感觉。

走进房间，更是被装修惊艳到。整体风格简约又不失格调，每一处细节都处理得恰到好处。从灯具的选择到家具的摆放，都能看出设计的用心。房间不仅空间布局合理，而且装修材质也十分讲究，摸上去质感满满。住在这样的房间里，真的是一种享受，下次有机会还会毫不犹豫选择这里！
展开更多",正面,229,长(201-500字)
79,虽然位置不是那么市中心，但是有一种远离喧嚣的安静，酒店布置雅致大气，干净舒适，管家服务热情周到，卫生间，床品，都非常满意，这是住过的酒店或民宿里唯一一家把戴森吹风机的吹风头摆出来的酒店，对头发胡乱卷星人简直太友好！,正面,107,中等(101-200字)
80,酒店服务态度特别好 我们到了以后 孩子想升级成小黄鸭房间 免费帮我们升级了 孩子特别开心 下次再来乐山的话 还是会选择这家,中性,61,短(51-100字)
81,环境卫生各方面都很不错，也会有小点心和水果，还会准备一些饮品，都很不错；唯一的小缺点就是没有机器人上门，晚间碰上只有一位值班就只能自己下去拿，希望以后可以改进一下,负面,81,短(51-100字)
82,"可惜没机会尝试下午茶
酒店很漂亮 房间也挺好 但是窗外没什么风景 
酒店位置比较偏，适合商业出差
游玩的话如果喜欢安静推荐入住 出入打车就行",正面,70,短(51-100字)
83,随手拍哈哈哈！第一次体验这个品牌，感谢莉姐安排～之前留言需求都满足到了～洗护备品香味挺好闻～房间非常安静，隔音很好！😉要东西响应很快，有枕头菜单👍🏻早餐蛋烘糕，甜皮鸭，跷脚牛肉都有～可冲～再次感谢鑫女士&帅先生的帮助～茉bar的饮品喝了，环境挺好的😉,正面,125,中等(101-200字)
84,"办理入住的时候，就已经非常惊喜了，非常好的接待礼仪，以及一杯温暖的可乐姜茶。房间很整洁舒适，PS：光线调的很好，拍照出片！
因为第二天是太太生日，还特别准备了生日小蛋糕！贴心！
第二天的早餐也不得不提，品类丰富！味道也很好！还有特色的叶儿粑！
下次出行乐山还会继续选择！",正面,135,中等(101-200字)
85,非常非常合适的酒店，父母对这次酒店之旅感到非常的满意。 今年母亲的生日在这个酒店度过：无论是服务还是酒店设置都非常令人满意。很少见哈哈。下次来乐山仍然会选择这家酒店,中性,82,短(51-100字)
86,"非常高级的法式精品酒店。 所有设施都是精挑细选，从床品到餐厅的餐具， 健身房的器械都是意大利进口的LifeFitness, 一线大牌。 入住感觉堪比北上广深的精品酒店。",中性,84,短(51-100字)
87,酒店非常有品位，有格调，如果情侣住是非常有情调的，也很有设计感。早餐也不错，感觉质量很好。可惜没有游泳池。,正面,53,短(51-100字)
88,周围环境安静，设计的有点度假风住在这里很放松，房间很漂亮空间大，餐厅和公共空间都很舒适。每天都有晚安甜品和免费mini bar，管家服务很周到。来乐山会再次选择的酒店。,正面,84,短(51-100字)
89,房间干净整洁，入住舒适。酒店每位工作人员都很热情，始终保持微笑。特别好，超预期。,正面,40,极短(≤50字)
